Timestamp,Qual o seu setor dentro da Empresa?,Meu gestor/supervisor me oferece suporte quando enfrento dificuldades no trabalho.,Meus colegas de trabalho estão disponíveis para me ajudar quando preciso,A organização disponibiliza recursos adequados para que eu realize minhas tarefas,Sinto que sou ouvido(a) quando apresento dificuldades ou sugestões dentro do meu departamento.,Sinto que sou ouvido(a) quando apresento dificuldades ou sugestões à empresa como um todo.,Tenho liberdade para decidir como organizar e executar minhas tarefas diárias,Posso influenciar as decisões que afetam diretamente meu trabalho,Tenho autonomia para gerenciar meu próprio ritmo de trabalho,Minhas responsabilidades e atribuições estão claramente definidas.,Sei exatamente o que é esperado de mim no desempenho do meu cargo.,As metas e objetivos do meu trabalho são comunicados de forma clara e objetiva,"Considero que o trabalho que desenvolvo corresponde às atribuições do meu cargo e às metas estabelecidas, com qualidade compatível com as minhas funções.",A quantidade de tarefas atribuídas a mim é compatível com o tempo disponível para realizá-las.,Frequentemente me sinto sobrecarregado(a) com o volume de trabalho exigido.,"O trabalho que realizo desafia minha capacidade de forma saudável, sem gerar esgotamento.",Percebo que tenho tarefas em quantidade insuficiente para manter-me produtivo(a) e engajado(a).,Meu desempenho e esforço são reconhecidos de forma justa pela organização.,A remuneração que recebo é compatível com as responsabilidades do meu cargo.,Recebo feedback construtivo e regular sobre a qualidade do meu trabalho.,O relacionamento entre colegas no meu ambiente de trabalho é respeitoso e colaborativo.,"Nunca fui exposto(a) a situações de constrangimento, humilhação ou intimidação no trabalho.",A liderança da organização trata todos os colaboradores com equidade e respeito,Sinto-me seguro(a) para reportar situações de conflito ou assédio sem medo de retaliação,As regras e políticas da organização são aplicadas de forma igual para todos os colaboradores.,As decisões de promoção e reconhecimento profissional são tomadas com base em critérios justos e transparentes.,Tenho confiança de que as decisões organizacionais que me afetam são tomadas de forma ética.,As ferramentas e canais de comunicação disponíveis permitem que eu trabalhe de forma eficiente.,"Sinto-me conectado(a) à equipe e à organização, independentemente do formato de trabalho (presencial ou remoto).",Tenho acesso fácil às informações necessárias para realizar minhas atividades.,Consigo equilibrar de forma adequada minhas responsabilidades profissionais e pessoais.,As demandas do trabalho influenciam de forma negativa as atividades importantes da minha vida pessoal.,Consigo deixar de pensar nas demandas do trabalho durante meus períodos de descanso.,Frequentemente atendo demandas profissionais fora da minha jornada habitual de trabalho.,"Fora da minha jornada de trabalho, consigo ter tempo suficiente para me dedicar às pessoas, atividades ou compromissos pessoais.",Percebo que as exigências do trabalho influenciam negativamente a minha qualidade de vida.,"Consigo usufruir de momentos de lazer, descanso ou autocuidado sem preocupações constantes do trabalho.","Meu atual modelo de trabalho (presencial, híbrido ou remoto) contribui positivamente para meu bem-estar e qualidade de vida.",Estabeleço limites claros entre minhas atividades profissionais e minha vida pessoal.,Sinto cansaço físico ao final da jornada de trabalho.,Tenho tido dificuldades para dormir: demoro mais para pegar no sono ou não consigo manter um sono reparador.,"Tenho sentido dores musculares, tensão no corpo ou coceiras.",Tenho apresentado dores de cabeça com frequência.,Sinto cansaço mesmo após períodos de descanso.,Tenho percebido alterações no apetite relacionadas ao estresse do trabalho.,"Tenho sentido mais irritação, intolerância, ansiedade ou nervosismo relacionados ao trabalho.","Nos últimos meses, percebi alterações em minha saúde física","Se desejar, utilize o espaço abaixo para descrever, com suas próprias palavras, como você tem se sentido em relação ao seu trabalho. Não há resposta certa ou errada — este espaço é seu. Sua resposta será analisada de forma anônima e nunca individualizada."
2026-08-01 10:00:00,Administrativo,Nem concordo nem discordo,Discordo parcialmente,Concordo parcialmente,Discordo totalmente,Discordo totalmente,Concordo totalmente,Discordo totalmente,Nem concordo nem discordo,Concordo totalmente,Discordo totalmente,Concordo totalmente,Discordo parcialmente,Discordo totalmente,Discordo totalmente,Concordo parcialmente,Concordo parcialmente,Discordo totalmente,Discordo parcialmente,Discordo totalmente,Concordo totalmente,Concordo parcialmente,Discordo totalmente,Concordo totalmente,Discordo totalmente,Discordo parcialmente,Concordo totalmente,Discordo totalmente,Concordo totalmente,Concordo totalmente,Concordo parcialmente,Discordo totalmente,Discordo parcialmente,Discordo totalmente,Concordo totalmente,Discordo parcialmente,Nem concordo nem discordo,Concordo parcialmente,Discordo parcialmente,Concordo totalmente,Discordo totalmente,Concordo totalmente,Nem concordo nem discordo,Concordo totalmente,Discordo parcialmente,Discordo totalmente,Concordo totalmente,Tenho apoio do time e consigo organizar meu tempo.
2026-08-02 10:01:00,Financeiro,Nem concordo nem discordo,Discordo totalmente,Concordo totalmente,Discordo totalmente,Concordo totalmente,Discordo totalmente,Concordo totalmente,Discordo parcialmente,Concordo parcialmente,Concordo totalmente,Concordo parcialmente,Nem concordo nem discordo,Concordo parcialmente,Concordo totalmente,Concordo parcialmente,Nem concordo nem discordo,Nem concordo nem discordo,Discordo parcialmente,Discordo parcialmente,Discordo parcialmente,Discordo totalmente,Concordo totalmente,Nem concordo nem discordo,Concordo totalmente,Concordo parcialmente,Nem concordo nem discordo,Concordo parcialmente,Nem concordo nem discordo,Concordo totalmente,Discordo totalmente,Discordo totalmente,Concordo totalmente,Concordo parcialmente,Discordo parcialmente,Nem concordo nem discordo,Discordo parcialmente,Concordo parcialmente,Concordo parcialmente,Discordo totalmente,Discordo totalmente,Concordo totalmente,Concordo totalmente,Nem concordo nem discordo,Nem concordo nem discordo,Nem concordo nem discordo,Concordo totalmente,
2026-08-03 10:02:00,Recursos Humanos (RH),Concordo totalmente,Concordo parcialmente,Discordo totalmente,Discordo totalmente,Nem concordo nem discordo,Concordo parcialmente,Discordo totalmente,Discordo totalmente,Nem concordo nem discordo,Concordo totalmente,Concordo parcialmente,Nem concordo nem discordo,Concordo parcialmente,Nem concordo nem discordo,Discordo totalmente,Concordo parcialmente,Nem concordo nem discordo,Discordo parcialmente,Concordo totalmente,Discordo totalmente,Concordo parcialmente,Discordo totalmente,Discordo parcialmente,Nem concordo nem discordo,Discordo parcialmente,Discordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Discordo totalmente,Discordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo totalmente,Nem concordo nem discordo,Discordo parcialmente,Concordo parcialmente,Concordo totalmente,Nem concordo nem discordo,Concordo parcialmente,Nem concordo nem discordo,Concordo parcialmente,Discordo parcialmente,Discordo parcialmente,Discordo totalmente,Discordo parcialmente,Tenho apoio do time e consigo organizar meu tempo.
2026-08-04 10:03:00,Comercial e Vendas,Discordo parcialmente,Discordo parcialmente,Discordo totalmente,Concordo parcialmente,Concordo totalmente,Discordo parcialmente,Nem concordo nem discordo,Nem concordo nem discordo,Discordo totalmente,Discordo parcialmente,Concordo parcialmente,Concordo totalmente,Nem concordo nem discordo,Concordo totalmente,Concordo totalmente,Nem concordo nem discordo,Discordo parcialmente,Concordo totalmente,Concordo totalmente,Discordo totalmente,Concordo parcialmente,Concordo totalmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Discordo totalmente,Concordo parcialmente,Concordo parcialmente,Discordo totalmente,Discordo parcialmente,Discordo totalmente,Discordo parcialmente,Concordo parcialmente,Discordo parcialmente,Discordo totalmente,Nem concordo nem discordo,Concordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Concordo totalmente,Discordo parcialmente,Concordo totalmente,Discordo totalmente,Nem concordo nem discordo,A rotina esta pesada e o cansaco acumula no fim da semana.
2026-08-05 10:04:00,Marketing,Discordo totalmente,Discordo parcialmente,Concordo totalmente,Concordo parcialmente,Discordo parcialmente,Nem concordo nem discordo,Nem concordo nem discordo,Concordo totalmente,Nem concordo nem discordo,Concordo parcialmente,Discordo totalmente,Discordo totalmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Nem concordo nem discordo,Discordo totalmente,Discordo parcialmente,Discordo totalmente,Nem concordo nem discordo,Nem concordo nem discordo,Concordo parcialmente,Discordo parcialmente,Concordo totalmente,Discordo totalmente,Discordo parcialmente,Concordo totalmente,Nem concordo nem discordo,Discordo parcialmente,Concordo totalmente,Discordo totalmente,Concordo totalmente,Nem concordo nem discordo,Discordo totalmente,Nem concordo nem discordo,Concordo totalmente,Nem concordo nem discordo,Discordo parcialmente,Nem concordo nem discordo,Discordo parcialmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Nem concordo nem discordo,Discordo parcialmente,Tenho apoio do time e consigo organizar meu tempo.
2026-08-06 10:05:00,Operacional,Discordo parcialmente,Concordo parcialmente,Discordo parcialmente,Discordo parcialmente,Concordo totalmente,Concordo parcialmente,Nem concordo nem discordo,Discordo totalmente,Discordo totalmente,Nem concordo nem discordo,Concordo parcialmente,Nem concordo nem discordo,Discordo parcialmente,Concordo totalmente,Nem concordo nem discordo,Concordo parcialmente,Nem concordo nem discordo,Nem concordo nem discordo,Discordo totalmente,Discordo parcialmente,Discordo totalmente,Discordo parcialmente,Concordo parcialmente,Discordo parcialmente,Nem concordo nem discordo,Discordo parcialmente,Concordo parcialmente,Concordo totalmente,Concordo totalmente,Discordo totalmente,Concordo parcialmente,Nem concordo nem discordo,Discordo totalmente,Discordo totalmente,Concordo parcialmente,Discordo parcialmente,Concordo parcialmente,Discordo parcialmente,Concordo parcialmente,Nem concordo nem discordo,Discordo totalmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Discordo totalmente,Discordo parcialmente,Tenho apoio do time e consigo organizar meu tempo.
2026-08-01 10:06:00,Tecnologia da Informação (TI),Discordo parcialmente,Discordo totalmente,Discordo parcialmente,Concordo totalmente,Concordo parcialmente,Discordo parcialmente,Concordo totalmente,Concordo totalmente,Concordo parcialmente,Nem concordo nem discordo,Discordo parcialmente,Concordo totalmente,Concordo totalmente,Discordo parcialmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Concordo totalmente,Discordo parcialmente,Concordo parcialmente,Discordo parcialmente,Discordo parcialmente,Discordo totalmente,Nem concordo nem discordo,Discordo parcialmente,Nem concordo nem discordo,Concordo totalmente,Discordo parcialmente,Concordo totalmente,Nem concordo nem discordo,Nem concordo nem discordo,Concordo totalmente,Concordo parcialmente,Discordo parcialmente,Discordo totalmente,Nem concordo nem discordo,Concordo parcialmente,Concordo totalmente,Concordo totalmente,Concordo parcialmente,Concordo totalmente,Discordo parcialmente,Concordo totalmente,Discordo parcialmente,Concordo totalmente,Concordo totalmente,A rotina esta pesada e o cansaco acumula no fim da semana.
2026-08-02 10:07:00,Outro,Concordo parcialmente,Discordo parcialmente,Concordo totalmente,Discordo totalmente,Discordo parcialmente,Discordo parcialmente,Discordo parcialmente,Concordo parcialmente,Concordo totalmente,Discordo totalmente,Concordo totalmente,Discordo totalmente,Nem concordo nem discordo,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo parcialmente,Discordo totalmente,Concordo totalmente,Discordo totalmente,Discordo parcialmente,Discordo parcialmente,Nem concordo nem discordo,Discordo totalmente,Discordo totalmente,Concordo totalmente,Concordo parcialmente,Concordo totalmente,Discordo totalmente,Discordo totalmente,Concordo parcialmente,Nem concordo nem discordo,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Discordo parcialmente,Nem concordo nem discordo,Concordo parcialmente,Concordo totalmente,Concordo totalmente,Concordo parcialmente,Concordo totalmente,Discordo parcialmente,Concordo totalmente,Nem concordo nem discordo,Tenho apoio do time e consigo organizar meu tempo.
2026-08-03 10:08:00,Administrativo,Concordo parcialmente,Discordo parcialmente,Concordo parcialmente,Discordo totalmente,Concordo parcialmente,Concordo parcialmente,Nem concordo nem discordo,Discordo totalmente,Discordo parcialmente,Concordo parcialmente,Discordo totalmente,Discordo parcialmente,Nem concordo nem discordo,Discordo totalmente,Discordo parcialmente,Nem concordo nem discordo,Discordo parcialmente,Nem concordo nem discordo,Discordo parcialmente,Concordo parcialmente,Discordo parcialmente,Discordo totalmente,Concordo parcialmente,Concordo parcialmente,Discordo parcialmente,Discordo parcialmente,Discordo parcialmente,Concordo parcialmente,Concordo totalmente,Concordo parcialmente,Nem concordo nem discordo,Concordo parcialmente,Discordo parcialmente,Nem concordo nem discordo,Nem concordo nem discordo,Discordo totalmente,Nem concordo nem discordo,Discordo totalmente,Nem concordo nem discordo,Concordo totalmente,Concordo parcialmente,Concordo parcialmente,Discordo totalmente,Concordo parcialmente,Nem concordo nem discordo,Concordo totalmente,Volume de demanda cresceu e falta gente no setor.
2026-08-04 10:09:00,Financeiro,Concordo totalmente,Discordo totalmente,Discordo totalmente,Discordo parcialmente,Discordo totalmente,Discordo totalmente,Nem concordo nem discordo,Nem concordo nem discordo,Discordo totalmente,Discordo parcialmente,Nem concordo nem discordo,Discordo parcialmente,Concordo parcialmente,Nem concordo nem discordo,Concordo parcialmente,Discordo parcialmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo parcialmente,Nem concordo nem discordo,Discordo totalmente,Nem concordo nem discordo,Discordo totalmente,Discordo parcialmente,Concordo parcialmente,Discordo totalmente,Nem concordo nem discordo,Discordo totalmente,Discordo totalmente,Nem concordo nem discordo,Discordo totalmente,Concordo totalmente,Discordo parcialmente,Discordo totalmente,Nem concordo nem discordo,Discordo totalmente,Concordo parcialmente,Discordo totalmente,Nem concordo nem discordo,Concordo totalmente,Concordo parcialmente,Nem concordo nem discordo,Concordo totalmente,Discordo parcialmente,Discordo totalmente,Tenho apoio do time e consigo organizar meu tempo.
