id_sintetico,cenario_id,indice_risco_verdadeiro,theta_latente,aquiescencia,itens_em_branco
RISK-V2-000001,CEN-18,87.4516369,1.54424206,0.18497168,0
RISK-V2-000002,CEN-21,24.73152282,-1.16184056,-0.24080987,0
RISK-V2-000003,CEN-09,82.05357143,1.11711398,-0.18300241,2
RISK-V2-000004,CEN-20,29.7625248,-0.64614134,0.15685821,1
RISK-V2-000005,CEN-20,28.185321,-0.4670161,0.17437494,3
RISK-V2-000006,CEN-01,13.81634425,-1.42575524,0.00654142,0
RISK-V2-000007,CEN-14,70.11780754,0.83192457,0.3521801,1
RISK-V2-000008,CEN-10,59.3718998,0.37362021,0.07803346,2
RISK-V2-000009,CEN-17,35.45758929,-0.5520105,0.22715315,1
RISK-V2-000010,CEN-16,65.55431548,0.71619893,0.06452934,0
RISK-V2-000011,CEN-10,57.16145833,0.12126455,0.01706028,2
RISK-V2-000012,CEN-19,4.53869048,-1.97835398,0.02076353,1
RISK-V2-000013,CEN-04,7.60168651,-1.67872944,0.11372368,1
RISK-V2-000014,CEN-06,86.2437996,1.15948812,-0.04927864,1
RISK-V2-000015,CEN-10,55.89285714,0.51716665,0.37287264,2
RISK-V2-000016,CEN-05,84.81451956,1.61286038,0.24033623,2
RISK-V2-000017,CEN-10,47.91002338,0.09198105,0.14507253,4
RISK-V2-000018,CEN-08,50.66034226,-0.15217077,-0.26826766,1
RISK-V2-000019,CEN-09,61.39207766,0.17856951,-0.26028631,2
RISK-V2-000020,CEN-24,49.37437996,0.03002156,-0.09924731,0
RISK-V2-000021,CEN-19,17.54154266,-1.17965874,-0.03276575,0
RISK-V2-000022,CEN-13,47.8515625,0.03486356,-0.19102538,1
RISK-V2-000023,CEN-15,14.97829861,-1.39197712,0.30073617,0
RISK-V2-000024,CEN-07,94.37464569,1.57847406,-0.01680465,1
RISK-V2-000025,CEN-05,83.74317956,1.33116886,0.15556248,1
RISK-V2-000026,CEN-08,38.66505456,-0.32798087,-0.05657839,0
RISK-V2-000027,CEN-20,85.4718502,1.09312277,-0.20289357,0
RISK-V2-000028,CEN-06,63.51748512,0.45281933,-0.00677881,0
RISK-V2-000029,CEN-11,22.9780506,-1.12204186,-0.11543002,0
RISK-V2-000030,CEN-11,75.26537698,0.7277452,-0.17722116,1
RISK-V2-000031,CEN-16,91.30208333,1.49295746,0.17737505,2
RISK-V2-000032,CEN-05,85.18229167,1.38932974,-0.12522867,0
RISK-V2-000033,CEN-19,13.21986607,-1.3756291,0.00484085,0
RISK-V2-000034,CEN-21,12.63888889,-1.18796824,0.18714505,0
RISK-V2-000035,CEN-24,53.046875,-0.02650115,-0.13895628,2
RISK-V2-000036,CEN-14,32.27678571,-0.65536373,0.0938907,2
RISK-V2-000037,CEN-22,0.36272321,-2.21872432,0.2826969,0
RISK-V2-000038,CEN-05,76.83035714,1.0999532,0.48912683,2
RISK-V2-000039,CEN-13,41.09747024,-0.41919643,-0.20651936,1
RISK-V2-000040,CEN-11,52.18563988,0.11480802,-0.09030376,1
RISK-V2-000041,CEN-06,51.66728671,0.27036623,-0.11492826,0
RISK-V2-000042,CEN-20,18.23448129,-1.22794509,0.35338753,2
RISK-V2-000043,CEN-04,32.04241071,-0.36714546,0.23741437,2
RISK-V2-000044,CEN-17,36.08940972,-0.5940324,-0.14789541,1
RISK-V2-000045,CEN-21,6.82043651,-1.60990741,0.46337996,1
RISK-V2-000046,CEN-14,52.61966766,0.14455338,0.20284338,1
RISK-V2-000047,CEN-02,86.40811012,1.58228764,0.32210994,0
RISK-V2-000048,CEN-08,19.9968998,-0.65060275,0.43343275,1
RISK-V2-000049,CEN-04,34.48970734,-0.45062997,0.17895597,0
RISK-V2-000050,CEN-14,45.21019345,0.08906863,0.34072644,1
RISK-V2-000051,CEN-03,5.3813244,-2.06939201,-0.03645283,0
RISK-V2-000052,CEN-21,2.34933036,-2.19485461,-0.20198216,1
RISK-V2-000053,CEN-15,1.51227679,-2.40433879,-0.0418503,1
RISK-V2-000054,CEN-17,43.61297123,-0.10064529,-0.22394591,0
RISK-V2-000055,CEN-02,58.35565476,0.09597203,-0.15438102,1
RISK-V2-000056,CEN-11,38.09895833,-0.72214749,-0.35103551,0
RISK-V2-000057,CEN-13,48.61545139,-0.0969604,-0.12663824,0
RISK-V2-000058,CEN-14,64.4890873,0.29831547,-0.28407399,0
RISK-V2-000059,CEN-18,56.89732143,0.19755797,-0.12291776,0
RISK-V2-000060,CEN-14,25.83829365,-0.76668134,0.09175224,3
RISK-V2-000061,CEN-22,26.83965774,-0.75327543,0.50308044,1
RISK-V2-000062,CEN-13,26.58296131,-0.68493723,-0.13021991,1
RISK-V2-000063,CEN-22,22.23958333,-1.03102309,0.05604236,1
RISK-V2-000064,CEN-10,95.00248016,2.008211,-0.02381979,1
RISK-V2-000065,CEN-08,35.05208333,-0.77433223,-0.14496798,0
RISK-V2-000066,CEN-05,56.47321429,0.29195067,0.10018396,0
RISK-V2-000067,CEN-23,89.6665958,1.31208107,-0.12544614,3
RISK-V2-000068,CEN-20,31.92398313,-0.49091536,0.15585182,0
RISK-V2-000069,CEN-11,40.30257937,-0.546976,-0.24641795,1
RISK-V2-000070,CEN-10,47.34375,0.16806217,0.16626445,0
RISK-V2-000071,CEN-01,63.4858631,0.22543166,-0.11936709,2
RISK-V2-000072,CEN-14,15.43216766,-1.46905392,0.01910163,0
RISK-V2-000073,CEN-05,100.0,2.68237485,-0.09012975,1
RISK-V2-000074,CEN-12,46.55718537,0.20701879,0.16740488,2
RISK-V2-000075,CEN-22,1.03236607,-2.29113106,0.0268875,0
RISK-V2-000076,CEN-20,47.95820933,-0.07026228,0.05042064,1
RISK-V2-000077,CEN-15,32.1484375,-0.78068786,-0.05979912,0
RISK-V2-000078,CEN-22,2.42745536,-2.01080363,0.0900481,1
RISK-V2-000079,CEN-12,56.88988095,0.35883897,-0.13808428,1
RISK-V2-000080,CEN-09,61.17001488,0.50414393,0.17799942,2
RISK-V2-000081,CEN-23,64.00979663,0.48118086,0.08041949,1
RISK-V2-000082,CEN-17,88.95966199,1.05678234,-0.50561418,2
RISK-V2-000083,CEN-19,35.87797619,-0.47155749,-0.21858294,1
RISK-V2-000084,CEN-21,10.85379464,-1.21191886,0.4059607,1
RISK-V2-000085,CEN-13,82.59114583,0.96733612,-0.13801232,1
RISK-V2-000086,CEN-12,81.30146329,0.88514748,-0.15263264,1
RISK-V2-000087,CEN-11,19.72753685,-1.19482239,-0.19241267,1
RISK-V2-000088,CEN-01,17.60974702,-1.14001977,-0.02075436,0
RISK-V2-000089,CEN-04,37.53188776,-0.81728846,-0.42000809,3
RISK-V2-000090,CEN-10,66.72743056,0.68851005,0.12854585,1
RISK-V2-000091,CEN-22,8.15538194,-1.86603306,-0.1103859,0
RISK-V2-000092,CEN-14,31.86383929,-0.41718755,0.19357338,2
RISK-V2-000093,CEN-24,43.1733631,-0.22858938,0.45643903,1
RISK-V2-000094,CEN-11,16.21465774,-1.19463323,0.24049438,2
RISK-V2-000095,CEN-02,96.77047902,1.9828487,0.02201722,2
RISK-V2-000096,CEN-06,89.61743552,1.65244934,-0.0700157,1
RISK-V2-000097,CEN-12,70.99844104,1.05683516,0.32267908,1
RISK-V2-000098,CEN-02,42.47767857,-0.11656477,0.31472882,0
RISK-V2-000099,CEN-13,54.32477679,-0.21604154,-0.28746759,0
RISK-V2-000100,CEN-07,100.0,2.6542815,-0.05800744,1
RISK-V2-000101,CEN-10,74.3061756,0.97471866,0.1821735,2
RISK-V2-000102,CEN-03,22.99975198,-0.95729881,-0.18682289,0
RISK-V2-000103,CEN-13,56.20039683,0.38817602,0.30526321,0
RISK-V2-000104,CEN-09,39.10652282,-0.22041117,-0.01536809,3
RISK-V2-000105,CEN-16,78.61917163,1.11075388,-0.14643104,2
RISK-V2-000106,CEN-08,10.2703373,-1.50542183,-0.09723541,1
RISK-V2-000107,CEN-18,54.86669147,0.0579182,-0.14025003,1
RISK-V2-000108,CEN-10,34.28925737,-0.31945203,0.45989236,1
RISK-V2-000109,CEN-13,35.10974702,-0.61384099,-0.06884379,1
RISK-V2-000110,CEN-13,58.73449901,0.15461545,0.03007719,1
RISK-V2-000111,CEN-06,97.18812004,2.08849303,-0.32633511,1
RISK-V2-000112,CEN-05,81.287911,1.07233748,-0.02584822,2
RISK-V2-000113,CEN-19,17.02008929,-1.58645651,-0.20105051,1
RISK-V2-000114,CEN-09,61.89546131,0.56589661,0.08115904,1
RISK-V2-000115,CEN-08,66.30456349,0.17497409,-0.3752699,1
RISK-V2-000116,CEN-17,29.68874008,-0.79496714,0.08992848,1
RISK-V2-000117,CEN-23,85.6640625,1.71188458,0.60992466,0
RISK-V2-000118,CEN-05,90.1953125,1.85154853,0.39458703,0
RISK-V2-000119,CEN-15,31.26169218,-0.82919376,-0.02593676,1
RISK-V2-000120,CEN-04,2.12053571,-2.13733951,0.28984501,1
RISK-V2-000121,CEN-03,47.95014881,-0.31371973,-0.08612702,2
RISK-V2-000122,CEN-19,7.85280258,-2.10336068,-0.38803591,3
RISK-V2-000123,CEN-17,54.08606151,0.27401813,0.23214001,2
RISK-V2-000124,CEN-18,76.80121528,1.14878156,-0.26811085,3
RISK-V2-000125,CEN-08,55.14136905,0.51130508,0.00845899,2
RISK-V2-000126,CEN-07,99.72718254,2.83235715,-0.09711869,2
RISK-V2-000127,CEN-16,70.35953444,0.59094807,-0.40917495,2
RISK-V2-000128,CEN-05,84.73958333,1.13365271,0.13767163,3
RISK-V2-000129,CEN-15,46.78881448,-0.24472744,-0.1382999,1
RISK-V2-000130,CEN-24,93.08159722,1.60581465,-0.31156021,2
RISK-V2-000131,CEN-15,13.48028274,-1.16831726,0.13171911,1
RISK-V2-000132,CEN-10,94.1858879,1.70998195,-0.10372905,1
RISK-V2-000133,CEN-07,89.12760417,1.62305937,-0.13770367,1
RISK-V2-000134,CEN-07,95.6640625,2.00892573,-0.04845057,1
RISK-V2-000135,CEN-21,8.28125,-1.61483184,0.17705712,0
RISK-V2-000136,CEN-14,0.0,-2.45166772,0.03079834,2
RISK-V2-000137,CEN-13,33.59933036,-0.69846244,-0.25678935,1
RISK-V2-000138,CEN-01,43.86904762,-0.24461722,-0.27473411,1
RISK-V2-000139,CEN-23,86.21961806,1.38983266,0.18959802,0
RISK-V2-000140,CEN-14,49.07454649,-0.21866389,-0.13204892,1
RISK-V2-000141,CEN-18,61.3609871,0.36685618,-0.19381723,0
RISK-V2-000142,CEN-18,83.56212798,1.29036651,-0.2567922,2
RISK-V2-000143,CEN-06,83.96267361,0.94074576,-0.08384393,0
RISK-V2-000144,CEN-20,44.58085317,-0.38315705,-0.06612523,1
RISK-V2-000145,CEN-02,86.87792304,1.26121372,-0.35641096,4
RISK-V2-000146,CEN-06,74.09908234,0.73804496,0.31489051,0
RISK-V2-000147,CEN-23,91.50014172,1.98974125,-0.00965554,1
RISK-V2-000148,CEN-08,61.77614796,0.17462151,-0.05187055,2
RISK-V2-000149,CEN-07,89.49280754,1.57732043,-0.15776233,1
RISK-V2-000150,CEN-17,61.87127976,0.38463898,0.1637129,1
RISK-V2-000151,CEN-23,94.33921485,1.8472945,0.15018963,1
RISK-V2-000152,CEN-18,58.46106151,0.40828219,0.16257473,1
RISK-V2-000153,CEN-10,53.0638818,0.25045245,0.0026787,3
