id_sintetico,cenario_id,ghe_codigo,A1,A2,A3,A4,A5,B1,B2,B3,C1,C2,C3,C4,D1,D2,D3,D4,E1,E2,E3,F1,F2,F3,F4,G1,G2,G3,H1,H2,H3,I1,I2,I3,I4,I5,I6,I7,I8,I9,J1,J2,J3,J4,J5,J6,J7,J8
RISK-V2-000001,CEN-18,GHE-06,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,3.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,5.0,1.0,4.0,1.0,4.0,1.0,2.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0
RISK-V2-000002,CEN-21,GHE-03,5.0,3.0,3.0,3.0,3.0,5.0,5.0,4.0,5.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,5.0,3.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,1.0,3.0,3.0,4.0,2.0,4.0,4.0,4.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0
RISK-V2-000003,CEN-09,GHE-03,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,4.0,2.0,3.0,2.0,1.0,,,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,3.0,5.0,2.0,2.0,1.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0
RISK-V2-000004,CEN-20,GHE-02,4.0,5.0,3.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,,2.0,3.0,3.0,3.0,4.0,2.0,4.0,5.0,3.0,4.0,5.0,3.0,4.0,5.0,4.0,1.0,5.0,2.0,3.0,2.0,4.0,4.0,4.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0
RISK-V2-000005,CEN-20,GHE-02,4.0,4.0,5.0,5.0,5.0,4.0,4.0,,3.0,4.0,5.0,4.0,4.0,2.0,3.0,2.0,5.0,5.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,,5.0,3.0,4.0,5.0,4.0,3.0,2.0,2.0,,2.0,3.0,3.0,3.0
RISK-V2-000006,CEN-01,GHE-01,5.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,1.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,1.0,4.0,1.0,4.0,2.0,4.0,4.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
RISK-V2-000007,CEN-14,GHE-02,4.0,3.0,2.0,2.0,5.0,2.0,3.0,,1.0,3.0,2.0,2.0,1.0,5.0,1.0,5.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,3.0,5.0,2.0,5.0,4.0,3.0,2.0,3.0,3.0,3.0,5.0,5.0,3.0,3.0,3.0,4.0,4.0
RISK-V2-000008,CEN-10,GHE-04,2.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,3.0,,3.0,3.0,2.0,4.0,3.0,3.0,,3.0,4.0,3.0,4.0,4.0,3.0,5.0,2.0,2.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0
RISK-V2-000009,CEN-17,GHE-05,5.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,5.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,4.0,2.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0
RISK-V2-000010,CEN-16,GHE-04,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,3.0,2.0,4.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0,4.0,5.0,4.0,5.0,3.0
